model,model_name,method,method_name,requested_candidate_slots,n,q1_retained_score,median_retained_score,q3_retained_score,metric,simulation_chain,source_artifacts
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5200,150,1.3267630000000001,1.43435095,1.6500146999999998,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5300,150,1.3267630000000001,1.4344809500000002,1.6547494249999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5400,150,1.327969875,1.4344809500000002,1.6547494249999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5500,150,1.3282239250000001,1.4362287500000002,1.668131625,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5600,150,1.3282239250000001,1.4390374500000001,1.668131625,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5700,150,1.3318142499999999,1.4430057999999999,1.668131625,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5800,150,1.33657775,1.4430057999999999,1.668131625,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5900,150,1.3411328499999999,1.4430057999999999,1.668131625,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6000,150,1.3411328499999999,1.45347425,1.67649465,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,6100,150,1.346923675,1.4628768999999999,1.67649465,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
