series,series_name,requested_candidate_slots,n,q1_retained_score,median_retained_score,q3_retained_score,metric,lso_simulation_chain,mini_simulation_chain,lso_source_artifacts,mini_source_artifacts,comparison_scope
tree_lso,TreeVAE-80 + latent EA,2200,150,1.1676636,1.2870091000000001,1.4550118750000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2300,150,1.181226925,1.2937431500000001,1.4748211499999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2400,150,1.189856625,1.3069277499999998,1.4748211499999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2500,150,1.2010564750000001,1.31246105,1.4823515,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2600,150,1.2018377250000001,1.3176573499999999,1.5006285749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2700,150,1.2073447000000002,1.3206010500000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2800,150,1.212635425,1.3206010500000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2900,150,1.21405615,1.3206010500000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3000,150,1.2256832,1.3225584000000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3100,150,1.22940315,1.3234215,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,3200,150,1.2393213249999999,1.3431207000000001,1.5209677499999998,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
