model,model_name,epoch,training_epochs_planned,validation_exact_count,validation_n,validation_exact_percent,average_string_similarity_percent,selected_epoch,source_log
09_tree_vae_epoch80,TreeVAE-80,550,1000,14,2178,0.64000000000000001,57.899999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,560,1000,15,2178,0.68999999999999995,57.920000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,570,1000,14,2178,0.64000000000000001,57.460000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,580,1000,11,2178,0.51000000000000001,57.259999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,590,1000,6,2178,0.28000000000000003,57.359999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,600,1000,13,2178,0.59999999999999998,56.82,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,610,1000,8,2178,0.37,56.560000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,620,1000,7,2178,0.32000000000000001,55.909999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,630,1000,5,2178,0.23000000000000001,56.460000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,640,1000,14,2178,0.64000000000000001,56.060000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
