dataset_idx,genotype,fitness,selected_manifest_source,bucket_id,seed_rank,dataset_count_metadata,exact_dataset_max_metadata
2675,"RR(XX(FXcLXcX), mcX)",0.5262239393427524,no,,,10893,2.2952309520191614
2676,"cLX(qcXXX(X(RX), ), X)",0.41468357801611216,no,,,10893,2.2952309520191614
2677,CXRfCQXMMCXMLX,0.437474432006455,no,,,10893,2.2952309520191614
2678,"Rc(CX, QmXCCCXX)",0.3977607445233035,no,,,10893,2.2952309520191614
2679,"F(qX, LXrMcqcXXXLX)",0.3617636044768695,no,,,10893,2.2952309520191614
2680,"XM(, QXcFmmmXcL(LX), LX)",0.49202572709056175,no,,,10893,2.2952309520191614
2681,"Xq(qLqXCRXrX, MXcX)",0.3046987049416049,no,,,10893,2.2952309520191614
2682,"XR(RmXcXrX,, QFX)",0.32379948833174466,no,,,10893,2.2952309520191614
2683,"QQ(X, cLXXXLX)",0.2449482749646838,no,,,10893,2.2952309520191614
2684,"R(RXfcXrcX, cX)",0.3281284114781414,no,,,10893,2.2952309520191614
2685,"LXCXCq(FMXLqX(rX, FX))",0.49452241961617327,no,,,10893,2.2952309520191614
2686,"rXF(QQX((XcX), X,), X)",0.60135444532407,no,,,10893,2.2952309520191614
2687,"(LQXLXCCQQXFXX, mXX)",0.5345680101278877,no,,,10893,2.2952309520191614
2688,"(XX, qXXCXLX,)",0.33138953426124546,no,,,10893,2.2952309520191614
2689,"X(LCRLqQXQCXLX, RX)",0.4116865352754219,no,,,10893,2.2952309520191614
2690,"c(RX, Lc(rrXLcfXX X))",1.025643547164093,no,,,10893,2.2952309520191614
2691,"(L(rfXXqXCXX), LfX)",0.3232623156447517,yes,B1,22,10893,2.2952309520191614
2692,XXCqmLXXXrLCCmXXX,0.4906558251925805,no,,,10893,2.2952309520191614
2693,"(qXXLCXFXX, (FQXX), X)",0.5366979846626313,no,,,10893,2.2952309520191614
2694,"X(QX, fLqXXCFXXLqX)",0.7140039385035853,no,,,10893,2.2952309520191614
2695,"(CQQXrLc(X, X), RfXX)",0.3726851692084294,no,,,10893,2.2952309520191614
2696,"CX(rqXq(rXX, X), X)",0.5824557746850807,no,,,10893,2.2952309520191614
2697,"(X, XqLcXMqcLXcMXXX)",0.6949526197278676,no,,,10893,2.2952309520191614
2698,"L(FX, RfFqcQXXXmcXX)",0.7364046077572284,no,,,10893,2.2952309520191614
2699,"(XRRfCXCXXfXX, MX,)",0.7513000073054436,no,,,10893,2.2952309520191614
2700,"LQ(XfQCCXXCX, X, )",0.43788024966693967,no,,,10893,2.2952309520191614
2701,"(CX(LX(QcXXccXX, ), ), LX)",0.5348662664222817,no,,,10893,2.2952309520191614
2702,"XFQ(XL(mX,, ), X)",0.23518504876542629,no,,,10893,2.2952309520191614
2703,XQXQ(QmCXCXfXCXX),0.4251066432002859,no,,,10893,2.2952309520191614
2704,cqLXXcXrFcXmfXLXcX,0.6710625174227267,no,,,10893,2.2952309520191614
2705,"FL(QXcFcX, X)",0.19380549815881584,no,,,10893,2.2952309520191614
2706,"(, XQQCXCmCXXX, X)",0.5211530445847681,no,,,10893,2.2952309520191614
2707,XRRCXLCLqX,0.22227659969883476,no,,,10893,2.2952309520191614
2708,"QLL(,RLFX(X,X), XmcX)",0.4337691841224614,no,,,10893,2.2952309520191614
2709,"(LcQ(,XcX((X)), fQX), )",0.3752446174763807,no,,,10893,2.2952309520191614
2710,"(rqX((CXcX, ), ), XX)",0.3238132755100752,no,,,10893,2.2952309520191614
2711,LfXRCFCQXCLLXX,0.6836487200180598,no,,,10893,2.2952309520191614
2712,"LC(FXLX, QCXLXmX)",0.2316059639287927,no,,,10893,2.2952309520191614
2713,"LL(rLX, rqXmccXLX)",0.585176005977129,no,,,10893,2.2952309520191614
2714,"(XmX, cqXXcXLXFqX)",0.577080624793011,no,,,10893,2.2952309520191614
2715,"X(LfFX, qlqLXRCXXX)",0.4942580755016556,no,,,10893,2.2952309520191614
2716,"r(QX, rXCXCX,)",0.33736462680773,no,,,10893,2.2952309520191614
2717,"((qXCXLXCXX),X FX)",0.6158946282616747,no,,,10893,2.2952309520191614
2718,"L(RRLCXCXFXX, lXmX)",0.7128427444848762,no,,,10893,2.2952309520191614
2719,"f(, , cQXXLX(XLX, ), XX)",0.1984245088731807,no,,,10893,2.2952309520191614
2720,Xc(cX rcXrXfXLXX),0.3221322840329252,no,,,10893,2.2952309520191614
2721,"C(XqXCXXXCX, QXXX)",0.5424583331938119,no,,,10893,2.2952309520191614
2722,"(fXRcQcFFMXXXX,X, X)",0.3808347197721415,no,,,10893,2.2952309520191614
2723,"(LXRCQXCfXXX, mMX)",0.5563573516344534,no,,,10893,2.2952309520191614
2724,"X((XRQXLCXrXRX), fX)",0.2039825720134442,no,,,10893,2.2952309520191614
